LaRegion,LA,urban,Population2007,Population2008,Population2009,CINrAtMarch31St2009,CINrDuring2009,CINrReferrals2007,CINrReferrals2008,CINrReferrals2009,CINrPriorReferral2007,CINrPriorReferral2008,CINrPriorReferral2009,CINrAssessmentInitial7Days2007,CINrAssessmentInitial7Days2008,CINrAssessmentInitial10Days2009,CINrAssessmentCore35Days2007,CINrAssessmentCore35Days2008,CINrAssessmentCore35Days2009,CINrCPPWithPriorCPP2007,CINrCPPWithPriorCPP2008,CINrCPPWithPriorCPP2009,WFrVacancyRate2010,WFrTurnoverRate2010,WFrAgencyWorkerRate2010,IMDScore
Yorkshire and the Humber,Doncaster,5,65909,65654,65348,329.3,820.5,558.3,498.1,594.1,26,23.7,11.3,25.3,49.7,47.2,71.6,74.7,62.7,13.6,8.8,15.7, , , ,29.76
Yorkshire and the Humber,Rotherham,5,56974,56875,56627,467.8,992.3,1326,692.7,689.8,37.6,34.3,12.6,80.5,77.8,85.5,83.1,84.6,80,15.6,10.9,15.3, , , ,28.12
Yorkshire and the Humber,Sheffield,5,109983,111090,112138,385.5,630.2,450.1,533.4,555.2,17.6,27.4,6.3,78.7,78.9,85.2,84.4,78.9,81,11.1,10.1,8.9,0,1.3,0,27.39
North East,Gateshead,6,39946,39982,39911,467.3,524.4,420.6,430.2,398.4,11,11.3,4.3,74.7,76.4,89,79.7,91.5,87.5,14.3,16.7,8.8,0,5.9,0,29.48
North East,Newcastle upon Tyne,6,53039,53521,53617,466.8,851.6,1007.7,540.9,509,26.8,25.2,7.5,39.8,79.4,89.4,63.5,72.5,79.4,14.3,17.6,19.1,2.8,5.7,0,29.74
North East,North Tyneside,6,40129,40271,40304,373.2,771.1,464.8,378.7,455,23.1,30.2,12.8,73.4,88.8,90.5,95.2,89,91.1,16.1,12.5,16.7,0,0,0,22.24
North East,South Tyneside,6,31164,30846,30317,426.2,700.3,335.3,471.7,454.2,14.4,15.8,9.1,68.9,76.5,90.9,68,82.2,90.4,7.3,15.6,16.5, , , ,28.35
North East,Sunderland,6,57867,57333,56478,397.1,1052.3,559.9,653.2,642.4,23,25.4,11.1,65.8,66,76.4,74,75.4,76.7,7.5,15,13.3, , , ,29.46
West Midlands,Birmingham,6,261954,265697,269466,266.2,811.6,1323.5,645.8,575.1,43.3,21.2,10.6,62.4,65.7,91,74.9,73.5,82.1,13.6,16.9,19.9, , , ,37.54
West Midlands,Coventry,4,66870,67857,68923,349.7,865.5,462.8,478.2,548.3,16.6,18.5,9.1,44,82.2,81.4,80.9,89.4,85.4,9.5,14.5,10.2,9.5,10.5,2.6,28.44
West Midlands,Dudley,6,67823,67937,67659,399.9,1184.6,432,613.1,1006.1,22.2,23.5,16.5,61,66.4,63.7,76,83.7,77.4,12.2,8.5,13.9, , , ,23.22
West Midlands,Sandwell,6,70608,71662,72874,375.9,523.4,400.1,436.8,694.3,24.1,21.2,14.1,70.1,73.6,70.3,67.7,84.2,75.2,9.4,15.4,6.7, , , ,36.97
West Midlands,Solihull,6,45948,45827,45251,313.1,489.9,638.8,453.9,620.1,25.4,31,14.1,74,67.1,48.8,87.5,73.1,75.7,20,23.1,8,3.8,8,0,16.38
West Midlands,Walsall,6,62198,62510,62652,443.4,794.4,465.4,366.3,485.7,12.8,11.6,11.1,82.6,80.4,59.4,92.3,88.1,86.3,11.1,13.7,9,13.3,11.5,0,31.23
West Midlands,Wolverhampton,6,55308,55722,55558,333.9,569,595.8,758.2,669.2,35.5,15.3,8.5,56.4,48.5,80,86.8,42.4,90.6,13.2,17.1,13.7, , , ,34.41
Yorkshire and the Humber,Bradford,6,129495,131675,133708,297.3,474.9,398.5,465.2,564.4,24.3,24,14.1,92.5,72.6,66.9,95.4,86.3,82.1,10.7,15.5,8.1, , , ,32.58
Yorkshire and the Humber,Calderdale,6,45380,45474,45593,366.9,569.8,629.1,564.1,361.7,30.5,22.6,7.4,59.4,53.1,49.3,50.9,54.5,62.2,12,9.1, , , , ,23.18
Yorkshire and the Humber,Kirklees,6,95163,95812,95936,285.7,439.7,356.8,382.5,549.2,17.4,19.8,14.7,69.3,68.6,67,71.3,72.2,44.4,11.6,9.3,17.8, , , ,25.23
Yorkshire and the Humber,Leeds,6,149601,151316,152681,362.2,558.6,550.1,572.6,649,20.5,21,13.4,79.9,76.5,66.6,77.8,83.3,64.9,17.2,8.9,12.2, , , ,25.83
Yorkshire and the Humber,Wakefield,4,69439,69243,68908,329.6,796.3,676.1,688.2,760.3,20.8,22.2,16.1,79.8,75.6,74.6,87.9,77.3,88.7,10.4,20,19.6, , , ,25.87
Outer London,Barking and Dagenham,6,46529,48309,50506,332.4,512.4,234.3,621,602.5,25.2,22.5,11,68.3,76.6,48.3,78,85.3,60.3,9.8,13.3,9.8,12.5,14.3,0,34.2
Outer London,Barnet,6,77424,78418,79788,251.9,621.5,277,420.8,422.4,15.6,21.8,11.1,78,72.8,77.1,88.9,84.8,72.7,11.4,8.1,11.6, , , ,16.64
Outer London,Bexley,6,52966,53348,53334,222.7,312.7,547.5,489.2,631.3,10,14.9,16.7,82,75.6,78.4,75.4,76.2,61, , , ,0,6.9,19.4,16.71
Outer London,Brent,6,64436,65790,67496, , ,485.8,523.6,475.7,19.3,26.7, ,69.5,77.4, ,65.3,70.1,81.7,4.3,9.8,16.5,0,21.9,13.5,30.5
Outer London,Bromley,6,67596,67860,68139,412.8,521.9,213,292.5,409.2,11.1,10.1,0,96.5,89.3,29.1,85.2,88.4,43.5,10.7,11.1,4.8,12,13.6,12,14.95
Inner London,Camden,6,37835,38012,38451,632.5,1094.1,750.6,631.4,639,13,10.4,4.4,78.7,82.1,87.4,82,85.4,84.9,15.6,20.4,14.2, , , ,25.43
Outer London,Croydon,6,83537,84722,85384,532.3,742.8,677.5,805,849,18.6,29,14.4,79.2,87,57.6,82,88.1,59.5,18.2,10.3,10.7, , , ,22.76
